time	V(n002)	I(R2)
2.529673679834176e-001	-9.219229e-001	2.427322e-005
2.531961032345989e-001	-9.860461e-001	5.626434e-005
2.534243448821008e-001	-1.043252e+000	1.209945e-004
2.536632503005686e-001	-1.092983e+000	2.382203e-004
2.539658567224292e-001	-1.140195e+000	4.633965e-004
2.544541379724292e-001	-1.193533e+000	9.363833e-004
2.549119426848859e-001	-1.228164e+000	1.451260e-003
2.554002239348859e-001	-1.254243e+000	2.047646e-003
2.563767864348859e-001	-1.290044e+000	3.298259e-003
2.578416301848859e-001	-1.324224e+000	5.201351e-003
2.593064739348859e-001	-1.347412e+000	7.059323e-003
2.607713176848859e-001	-1.364655e+000	8.830229e-003
2.622361614348859e-001	-1.378101e+000	1.048761e-002
2.637010051848859e-001	-1.388853e+000	1.201135e-002
2.651658489348859e-001	-1.397544e+000	1.338494e-002
2.666306926848859e-001	-1.404564e+000	1.459442e-002
2.680955364348859e-001	-1.410171e+000	1.562797e-002
2.695603801848859e-001	-1.414535e+000	1.647576e-002
2.710252239348859e-001	-1.417771e+000	1.712985e-002
2.724900676848859e-001	-1.419957e+000	1.758417e-002
2.739549114348859e-001	-1.421142e+000	1.783454e-002
2.754197551848859e-001	-1.421349e+000	1.787868e-002
2.768845989348859e-001	-1.420583e+000	1.771618e-002
2.783494426848859e-001	-1.418829e+000	1.734852e-002
2.798142864348859e-001	-1.416049e+000	1.677908e-002
2.812791301848859e-001	-1.412178e+000	1.601312e-002
2.827439739348859e-001	-1.407119e+000	1.505777e-002
2.842088176848859e-001	-1.400728e+000	1.392207e-002
2.856736614348859e-001	-1.392789e+000	1.261696e-002
2.871385051848859e-001	-1.382977e+000	1.115546e-002
2.886033489348859e-001	-1.370781e+000	9.552911e-003
2.900681926848859e-001	-1.355340e+000	7.827702e-003
2.915330364348859e-001	-1.335067e+000	6.003024e-003
2.929978801848859e-001	-1.306561e+000	4.112186e-003
2.939744426848859e-001	-1.278940e+000	2.843552e-003
2.944627239348859e-001	-1.260341e+000	2.219808e-003
2.949510051848859e-001	-1.236204e+000	1.615728e-003
2.954392864348859e-001	-1.202587e+000	1.051711e-003
2.959275676848859e-001	-1.153018e+000	5.610803e-004
2.963233063820699e-001	-1.093596e+000	2.554627e-004
2.966166115303113e-001	-1.031778e+000	1.152665e-004
2.969563624389113e-001	-9.439420e-001	3.192936e-005
2.970837411929690e-001	-9.076163e-001	1.708092e-005
2.972522282288083e-001	-8.571824e-001	8.745557e-006
2.974225949506427e-001	-8.053077e-001	4.247135e-006
2.975991686604518e-001	-7.509622e-001	1.996381e-006
2.977881426036396e-001	-6.924409e-001	8.759874e-007
2.979798861466788e-001	-6.328357e-001	3.691624e-007
